datestr,daten,FEDFUNDS
"1954-07-01",01jul1954,.8
"1954-08-01",01aug1954,1.22
"1954-09-01",01sep1954,1.06
"1954-10-01",01oct1954,.85
"1954-11-01",01nov1954,.83
"1954-12-01",01dec1954,1.28
"1955-01-01",01jan1955,1.39
"1955-02-01",01feb1955,1.29
"1955-03-01",01mar1955,1.35
"1955-04-01",01apr1955,1.43
"1955-05-01",01may1955,1.43
"1955-06-01",01jun1955,1.64
"1955-07-01",01jul1955,1.68
"1955-08-01",01aug1955,1.96
"1955-09-01",01sep1955,2.18
"1955-10-01",01oct1955,2.24
"1955-11-01",01nov1955,2.35
"1955-12-01",01dec1955,2.48
"1956-01-01",01jan1956,2.45
"1956-02-01",01feb1956,2.5
"1956-03-01",01mar1956,2.5
"1956-04-01",01apr1956,2.62
"1956-05-01",01may1956,2.75
"1956-06-01",01jun1956,2.71
"1956-07-01",01jul1956,2.75
"1956-08-01",01aug1956,2.73
"1956-09-01",01sep1956,2.95
"1956-10-01",01oct1956,2.96
"1956-11-01",01nov1956,2.88
"1956-12-01",01dec1956,2.94
"1957-01-01",01jan1957,2.84
"1957-02-01",01feb1957,3
"1957-03-01",01mar1957,2.96
"1957-04-01",01apr1957,3
"1957-05-01",01may1957,3
"1957-06-01",01jun1957,3
"1957-07-01",01jul1957,2.99
"1957-08-01",01aug1957,3.24
"1957-09-01",01sep1957,3.47
"1957-10-01",01oct1957,3.5
"1957-11-01",01nov1957,3.28
"1957-12-01",01dec1957,2.98
"1958-01-01",01jan1958,2.72
"1958-02-01",01feb1958,1.67
"1958-03-01",01mar1958,1.2
"1958-04-01",01apr1958,1.26
"1958-05-01",01may1958,.63
"1958-06-01",01jun1958,.93
"1958-07-01",01jul1958,.68
"1958-08-01",01aug1958,1.53
"1958-09-01",01sep1958,1.76
"1958-10-01",01oct1958,1.8
"1958-11-01",01nov1958,2.27
"1958-12-01",01dec1958,2.42
"1959-01-01",01jan1959,2.48
"1959-02-01",01feb1959,2.43
"1959-03-01",01mar1959,2.8
"1959-04-01",01apr1959,2.96
"1959-05-01",01may1959,2.9
"1959-06-01",01jun1959,3.39
"1959-07-01",01jul1959,3.47
"1959-08-01",01aug1959,3.5
"1959-09-01",01sep1959,3.76
"1959-10-01",01oct1959,3.98
"1959-11-01",01nov1959,4
"1959-12-01",01dec1959,3.99
"1960-01-01",01jan1960,3.99
"1960-02-01",01feb1960,3.97
"1960-03-01",01mar1960,3.84
"1960-04-01",01apr1960,3.92
"1960-05-01",01may1960,3.85
"1960-06-01",01jun1960,3.32
"1960-07-01",01jul1960,3.23
"1960-08-01",01aug1960,2.98
"1960-09-01",01sep1960,2.6
"1960-10-01",01oct1960,2.47
"1960-11-01",01nov1960,2.44
"1960-12-01",01dec1960,1.98
"1961-01-01",01jan1961,1.45
"1961-02-01",01feb1961,2.54
"1961-03-01",01mar1961,2.02
"1961-04-01",01apr1961,1.49
"1961-05-01",01may1961,1.98
"1961-06-01",01jun1961,1.73
"1961-07-01",01jul1961,1.17
"1961-08-01",01aug1961,2
"1961-09-01",01sep1961,1.88
"1961-10-01",01oct1961,2.26
"1961-11-01",01nov1961,2.61
"1961-12-01",01dec1961,2.33
"1962-01-01",01jan1962,2.15
"1962-02-01",01feb1962,2.37
"1962-03-01",01mar1962,2.85
"1962-04-01",01apr1962,2.78
"1962-05-01",01may1962,2.36
"1962-06-01",01jun1962,2.68
"1962-07-01",01jul1962,2.71
"1962-08-01",01aug1962,2.93
"1962-09-01",01sep1962,2.9
"1962-10-01",01oct1962,2.9
"1962-11-01",01nov1962,2.94
"1962-12-01",01dec1962,2.93
"1963-01-01",01jan1963,2.92
"1963-02-01",01feb1963,3
"1963-03-01",01mar1963,2.98
"1963-04-01",01apr1963,2.9
"1963-05-01",01may1963,3
"1963-06-01",01jun1963,2.99
"1963-07-01",01jul1963,3.02
"1963-08-01",01aug1963,3.49
"1963-09-01",01sep1963,3.48
"1963-10-01",01oct1963,3.5
"1963-11-01",01nov1963,3.48
"1963-12-01",01dec1963,3.38
"1964-01-01",01jan1964,3.48
"1964-02-01",01feb1964,3.48
"1964-03-01",01mar1964,3.43
"1964-04-01",01apr1964,3.47
"1964-05-01",01may1964,3.5
"1964-06-01",01jun1964,3.5
"1964-07-01",01jul1964,3.42
"1964-08-01",01aug1964,3.5
"1964-09-01",01sep1964,3.45
"1964-10-01",01oct1964,3.36
"1964-11-01",01nov1964,3.52
"1964-12-01",01dec1964,3.85
"1965-01-01",01jan1965,3.9
"1965-02-01",01feb1965,3.98
"1965-03-01",01mar1965,4.04
"1965-04-01",01apr1965,4.09
"1965-05-01",01may1965,4.1
"1965-06-01",01jun1965,4.04
"1965-07-01",01jul1965,4.09
"1965-08-01",01aug1965,4.12
"1965-09-01",01sep1965,4.01
"1965-10-01",01oct1965,4.08
"1965-11-01",01nov1965,4.1
"1965-12-01",01dec1965,4.32
"1966-01-01",01jan1966,4.42
"1966-02-01",01feb1966,4.6
"1966-03-01",01mar1966,4.65
"1966-04-01",01apr1966,4.67
"1966-05-01",01may1966,4.9
"1966-06-01",01jun1966,5.17
"1966-07-01",01jul1966,5.3
"1966-08-01",01aug1966,5.53
"1966-09-01",01sep1966,5.4
"1966-10-01",01oct1966,5.53
"1966-11-01",01nov1966,5.76
"1966-12-01",01dec1966,5.4
"1967-01-01",01jan1967,4.94
"1967-02-01",01feb1967,5
"1967-03-01",01mar1967,4.53
"1967-04-01",01apr1967,4.05
"1967-05-01",01may1967,3.94
"1967-06-01",01jun1967,3.98
"1967-07-01",01jul1967,3.79
"1967-08-01",01aug1967,3.9
"1967-09-01",01sep1967,3.99
"1967-10-01",01oct1967,3.88
"1967-11-01",01nov1967,4.13
"1967-12-01",01dec1967,4.51
"1968-01-01",01jan1968,4.6
"1968-02-01",01feb1968,4.71
"1968-03-01",01mar1968,5.05
"1968-04-01",01apr1968,5.76
"1968-05-01",01may1968,6.11
"1968-06-01",01jun1968,6.07
"1968-07-01",01jul1968,6.02
"1968-08-01",01aug1968,6.03
"1968-09-01",01sep1968,5.78
"1968-10-01",01oct1968,5.91
"1968-11-01",01nov1968,5.82
"1968-12-01",01dec1968,6.02
"1969-01-01",01jan1969,6.3
"1969-02-01",01feb1969,6.61
"1969-03-01",01mar1969,6.79
"1969-04-01",01apr1969,7.41
"1969-05-01",01may1969,8.67
"1969-06-01",01jun1969,8.9
"1969-07-01",01jul1969,8.61
"1969-08-01",01aug1969,9.19
"1969-09-01",01sep1969,9.15
"1969-10-01",01oct1969,9
"1969-11-01",01nov1969,8.85
"1969-12-01",01dec1969,8.97
"1970-01-01",01jan1970,8.98
"1970-02-01",01feb1970,8.98
"1970-03-01",01mar1970,7.76
"1970-04-01",01apr1970,8.1
"1970-05-01",01may1970,7.94
"1970-06-01",01jun1970,7.6
"1970-07-01",01jul1970,7.21
"1970-08-01",01aug1970,6.61
"1970-09-01",01sep1970,6.29
"1970-10-01",01oct1970,6.2
"1970-11-01",01nov1970,5.6
"1970-12-01",01dec1970,4.9
"1971-01-01",01jan1971,4.14
"1971-02-01",01feb1971,3.72
"1971-03-01",01mar1971,3.71
"1971-04-01",01apr1971,4.15
"1971-05-01",01may1971,4.63
"1971-06-01",01jun1971,4.91
"1971-07-01",01jul1971,5.31
"1971-08-01",01aug1971,5.56
"1971-09-01",01sep1971,5.55
"1971-10-01",01oct1971,5.2
"1971-11-01",01nov1971,4.91
"1971-12-01",01dec1971,4.14
"1972-01-01",01jan1972,3.5
"1972-02-01",01feb1972,3.29
"1972-03-01",01mar1972,3.83
"1972-04-01",01apr1972,4.17
"1972-05-01",01may1972,4.27
"1972-06-01",01jun1972,4.46
"1972-07-01",01jul1972,4.55
"1972-08-01",01aug1972,4.8
"1972-09-01",01sep1972,4.87
"1972-10-01",01oct1972,5.04
"1972-11-01",01nov1972,5.06
"1972-12-01",01dec1972,5.33
"1973-01-01",01jan1973,5.94
"1973-02-01",01feb1973,6.58
"1973-03-01",01mar1973,7.09
"1973-04-01",01apr1973,7.12
"1973-05-01",01may1973,7.84
"1973-06-01",01jun1973,8.49
"1973-07-01",01jul1973,10.4
"1973-08-01",01aug1973,10.5
"1973-09-01",01sep1973,10.78
"1973-10-01",01oct1973,10.01
"1973-11-01",01nov1973,10.03
"1973-12-01",01dec1973,9.95
"1974-01-01",01jan1974,9.65
"1974-02-01",01feb1974,8.97
"1974-03-01",01mar1974,9.35
"1974-04-01",01apr1974,10.51
"1974-05-01",01may1974,11.31
"1974-06-01",01jun1974,11.93
"1974-07-01",01jul1974,12.92
"1974-08-01",01aug1974,12.01
"1974-09-01",01sep1974,11.34
"1974-10-01",01oct1974,10.06
"1974-11-01",01nov1974,9.45
"1974-12-01",01dec1974,8.53
"1975-01-01",01jan1975,7.13
"1975-02-01",01feb1975,6.24
"1975-03-01",01mar1975,5.54
"1975-04-01",01apr1975,5.49
"1975-05-01",01may1975,5.22
"1975-06-01",01jun1975,5.55
"1975-07-01",01jul1975,6.1
"1975-08-01",01aug1975,6.14
"1975-09-01",01sep1975,6.24
"1975-10-01",01oct1975,5.82
"1975-11-01",01nov1975,5.22
"1975-12-01",01dec1975,5.2
"1976-01-01",01jan1976,4.87
"1976-02-01",01feb1976,4.77
"1976-03-01",01mar1976,4.84
"1976-04-01",01apr1976,4.82
"1976-05-01",01may1976,5.29
"1976-06-01",01jun1976,5.48
"1976-07-01",01jul1976,5.31
"1976-08-01",01aug1976,5.29
"1976-09-01",01sep1976,5.25
"1976-10-01",01oct1976,5.02
"1976-11-01",01nov1976,4.95
"1976-12-01",01dec1976,4.65
"1977-01-01",01jan1977,4.61
"1977-02-01",01feb1977,4.68
"1977-03-01",01mar1977,4.69
"1977-04-01",01apr1977,4.73
"1977-05-01",01may1977,5.35
"1977-06-01",01jun1977,5.39
"1977-07-01",01jul1977,5.42
"1977-08-01",01aug1977,5.9
"1977-09-01",01sep1977,6.14
"1977-10-01",01oct1977,6.47
"1977-11-01",01nov1977,6.51
"1977-12-01",01dec1977,6.56
"1978-01-01",01jan1978,6.7
"1978-02-01",01feb1978,6.78
"1978-03-01",01mar1978,6.79
"1978-04-01",01apr1978,6.89
"1978-05-01",01may1978,7.36
"1978-06-01",01jun1978,7.6
"1978-07-01",01jul1978,7.81
"1978-08-01",01aug1978,8.04
"1978-09-01",01sep1978,8.45
"1978-10-01",01oct1978,8.96
"1978-11-01",01nov1978,9.76
"1978-12-01",01dec1978,10.03
"1979-01-01",01jan1979,10.07
"1979-02-01",01feb1979,10.06
"1979-03-01",01mar1979,10.09
"1979-04-01",01apr1979,10.01
"1979-05-01",01may1979,10.24
"1979-06-01",01jun1979,10.29
"1979-07-01",01jul1979,10.47
"1979-08-01",01aug1979,10.94
"1979-09-01",01sep1979,11.43
"1979-10-01",01oct1979,13.77
"1979-11-01",01nov1979,13.18
"1979-12-01",01dec1979,13.78
"1980-01-01",01jan1980,13.82
"1980-02-01",01feb1980,14.13
"1980-03-01",01mar1980,17.19
"1980-04-01",01apr1980,17.61
"1980-05-01",01may1980,10.98
"1980-06-01",01jun1980,9.47
"1980-07-01",01jul1980,9.03
"1980-08-01",01aug1980,9.61
"1980-09-01",01sep1980,10.87
"1980-10-01",01oct1980,12.81
"1980-11-01",01nov1980,15.85
"1980-12-01",01dec1980,18.9
"1981-01-01",01jan1981,19.08
"1981-02-01",01feb1981,15.93
"1981-03-01",01mar1981,14.7
"1981-04-01",01apr1981,15.72
"1981-05-01",01may1981,18.52
"1981-06-01",01jun1981,19.1
"1981-07-01",01jul1981,19.04
"1981-08-01",01aug1981,17.82
"1981-09-01",01sep1981,15.87
"1981-10-01",01oct1981,15.08
"1981-11-01",01nov1981,13.31
"1981-12-01",01dec1981,12.37
"1982-01-01",01jan1982,13.22
"1982-02-01",01feb1982,14.78
"1982-03-01",01mar1982,14.68
"1982-04-01",01apr1982,14.94
"1982-05-01",01may1982,14.45
"1982-06-01",01jun1982,14.15
"1982-07-01",01jul1982,12.59
"1982-08-01",01aug1982,10.12
"1982-09-01",01sep1982,10.31
"1982-10-01",01oct1982,9.71
"1982-11-01",01nov1982,9.2
"1982-12-01",01dec1982,8.95
"1983-01-01",01jan1983,8.68
"1983-02-01",01feb1983,8.51
"1983-03-01",01mar1983,8.77
"1983-04-01",01apr1983,8.8
"1983-05-01",01may1983,8.63
"1983-06-01",01jun1983,8.98
"1983-07-01",01jul1983,9.37
"1983-08-01",01aug1983,9.56
"1983-09-01",01sep1983,9.45
"1983-10-01",01oct1983,9.48
"1983-11-01",01nov1983,9.34
"1983-12-01",01dec1983,9.47
"1984-01-01",01jan1984,9.56
"1984-02-01",01feb1984,9.59
"1984-03-01",01mar1984,9.91
"1984-04-01",01apr1984,10.29
"1984-05-01",01may1984,10.32
"1984-06-01",01jun1984,11.06
"1984-07-01",01jul1984,11.23
"1984-08-01",01aug1984,11.64
"1984-09-01",01sep1984,11.3
"1984-10-01",01oct1984,9.99
"1984-11-01",01nov1984,9.43
"1984-12-01",01dec1984,8.38
"1985-01-01",01jan1985,8.35
"1985-02-01",01feb1985,8.5
"1985-03-01",01mar1985,8.58
"1985-04-01",01apr1985,8.27
"1985-05-01",01may1985,7.97
"1985-06-01",01jun1985,7.53
"1985-07-01",01jul1985,7.88
"1985-08-01",01aug1985,7.9
"1985-09-01",01sep1985,7.92
"1985-10-01",01oct1985,7.99
"1985-11-01",01nov1985,8.05
"1985-12-01",01dec1985,8.27
"1986-01-01",01jan1986,8.14
"1986-02-01",01feb1986,7.86
"1986-03-01",01mar1986,7.48
"1986-04-01",01apr1986,6.99
"1986-05-01",01may1986,6.85
"1986-06-01",01jun1986,6.92
"1986-07-01",01jul1986,6.56
"1986-08-01",01aug1986,6.17
"1986-09-01",01sep1986,5.89
"1986-10-01",01oct1986,5.85
"1986-11-01",01nov1986,6.04
"1986-12-01",01dec1986,6.91
"1987-01-01",01jan1987,6.43
"1987-02-01",01feb1987,6.1
"1987-03-01",01mar1987,6.13
